	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00019715	11.44790691	11.43551193	11.46444765	11.56720705	11.16825205	11.11852867	10.99162	11.21998526
WBGene00019716	10.41576882	10.10673034	10.12735738	10.06123902	10.15537268	10.2705975	10.38770587	10.23212731
WBGene00004905	10.82971374	10.47110251	10.55219749	10.67816035	10.49104852	10.58535168	10.45529077	10.39081309
WBGene00044341	8.321832767	8.348289642	8.371655194	8.163902188	8.476048556	8.48131502	8.792033248	8.340603711
WBGene00019717	5.418582527	4.608019428	7.752971131	7.530553942	5.429358503	5.787644297	7.388861325	7.207933043
WBGene00019718	4.06116351	3.34835794	3.591313418	3.783276423	3.439001031	3.453189218	3.720470448	3.815593777
WBGene00019719	10.5895104	11.02640356	10.95110708	11.28209405	10.87377349	10.88321367	11.11066718	10.89635453
WBGene00019720	6.747998477	7.001900569	7.094667895	6.85392777	7.20379624	6.897374681	7.564998394	7.303577574
WBGene00019721	3	3	3	3.163720912	3.161636323	3	3	3
WBGene00019722	3.312049054	3.863409062	3.707765223	3.310741453	3.439001031	3.691628499	3.332378776	3.815593777
WBGene00002150	6.46218227	5.751747774	5.899054976	5.413109285	6.3571716	6.502556453	6.55485153	6.339175677
WBGene00004829	10.02977565	10.44646578	10.32148904	10.4971164	10.31211505	10.29000683	10.0355312	9.980448344
WBGene00005153	8.389880463	8.405185053	8.349418085	8.332579288	8.618631289	8.424593017	8.708721517	8.739889799
WBGene00010827	6.55402416	6.747015629	6.443480125	6.517906468	7.328216843	7.326844615	7.114577344	6.924773034
WBGene00010828	10.4289694	10.13363589	10.34976931	10.38541864	10.39879041	10.31139501	10.56298778	10.36221986
WBGene00010829	6.085010008	5.864245092	5.923345185	5.380185677	6.469519183	6.733583426	6.89347793	6.64696976
WBGene00019723	9.86919847	9.937041705	9.745009642	9.610860376	9.607387282	9.565933654	9.352366919	9.767167178
WBGene00019724	9.032815195	8.948767729	8.851528847	8.91851471	9.107103463	9.035317929	9.195455254	8.889190787
WBGene00003884	6.654268914	6.473150241	6.320840588	6.270890662	6.179789163	6.283106815	6.473062177	6.186960903
WBGene00019725	9.691857312	9.716877826	9.755194667	9.721783761	9.777617303	9.595599613	9.624628252	9.644667488
WBGene00019726	9.678315273	9.795242733	9.673418456	9.918054055	9.677573203	9.747028419	9.658323643	9.48450243
WBGene00000287	6.597841769	6.157078011	6.374681754	6.306373777	6.917246199	6.65122226	6.456132796	6.837982761
WBGene00044690	6.397536472	6.8185762	6.63214012	6.577210942	6.57374643	6.885414812	7.325022672	6.525272477
WBGene00019727	10.90722121	11.03318803	10.51970732	10.5152359	11.46928669	11.33734697	11.33385921	11.27352716
WBGene00019728	7.092354208	6.732267491	6.98354717	6.178166028	7.418964188	7.309047477	7.238561523	7.588205657
WBGene00019729	10.02577106	10.42828016	10.05637299	10.15058518	10.30564282	10.26483882	9.375061284	9.999140192
WBGene00019730	10.18746181	10.52129498	9.500558049	9.536236146	10.80507621	10.87869613	10.25818422	10.28112221
WBGene00019731	8.326181084	7.962490681	7.57275619	7.175084988	7.868692366	7.797978135	7.352728695	7.669445602
WBGene00019732	3.975174388	3.750843922	4.009515923	4.057659929	4.592366937	3.988534886	4.198769781	3.915859522
WBGene00044313	4.06116351	4.065188354	3.464629901	3.566269616	4.648001392	4.308158984	5.127019131	4.713725351
WBGene00019733	10.06792413	9.960959002	9.918168538	10.2620845	10.06756747	10.06726066	9.702060519	10.08778787
WBGene00019734	4.665950878	4.608019428	5.101991309	4.486759395	5.26115863	5.373708926	5.399156615	5.475119732
