	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00004367	4.939805331	4.456655316	4.718854719	4.689966488	5.514556174	5.288545172	5.07039018	6.018410606
WBGene00003161	7.319041424	6.381484164	6.598720942	6.762681734	6.426246066	6.371531231	6.882462951	6.911466269
WBGene00022100	6.179788376	6.576949558	5.845535148	6.147014771	5.593507323	5.489077347	5.662965955	6.100348734
WBGene00022075	3.376938259	3	3.156509871	3.177560818	3	3	3.438884535	3.21143436
WBGene00022101	3	3	3	3	3	3.313654502	3.559809383	3.559263004
WBGene00004878	4.317833773	3.551153539	3.54433698	3.726700989	4.700425453	4.366553285	3.438884535	3.706070801
WBGene00022076	3.922768025	3.763738925	4.022394409	4.207706244	4.258722274	4.557197317	3.774933909	4.366469162
WBGene00022077	3.200744779	3.15874315	3.297690316	3.607749765	3.146839394	3.684486619	3	4.178051751
WBGene00022078	8.86241791	7.565674508	8.545981033	8.147516017	8.530246821	8.856706697	9.048437519	9.173632794
WBGene00022079	3	3	3	3	3	3	3	3
WBGene00022080	3	3	3	3.177560818	3	3.16533442	3	3.21143436
WBGene00013473	3	3	3.156509871	3.177560818	3.618902645	3.16533442	3.161589261	3.961277016
WBGene00013474	3	3	3	3	3	3	3	3
WBGene00013475	3	3	3	3	3	3	3	3
WBGene00013476	3	3	3	3	3	3	3	3
WBGene00013477	3	3.15874315	3.156509871	3	3	3	3.438884535	3
WBGene00005531	3	3	3.297690316	3	3	3	3.30688891	3.21143436
WBGene00000171	3	3	3	3.177560818	3	3	3.161589261	3
WBGene00013478	3	3	3	3.478102426	3	3	3.161589261	3
WBGene00022102	3	3	3	3	3	3	3	3
WBGene00000118	3.200744779	3	3	3	3	3	3	3
WBGene00044451	3	3	3	3	3	3	3	3
WBGene00013479	3.200744779	3	3.156509871	3	3.146839394	3.16533442	3.30688891	3
WBGene00013485	3	3	3.156509871	3	3.146839394	3.313654502	3	3.21143436
WBGene00013486	3	3	3	3	3	3.16533442	3.161589261	3
WBGene00013487	3	3	3	3	3	3	3	3
WBGene00013489	3.200744779	3	3	3	3	3	3	3.21143436
WBGene00050884	3.376938259	3	3	3.478102426	3.280104283	3	3	3
WBGene00013480	3.376938259	3.301737941	3	3	3.280104283	3.571146702	3.438884535	3.395805922
WBGene00013481	4.401743307	3.551153539	4.101565999	3.938692934	4.382456935	3.789567328	4.850963174	4.178051751
WBGene00006714	4.032129483	3.661358331	4.559730357	4.567814026	3.973994676	4.223846317	3.871552142	3.839309669
WBGene00013482	4.556203609	3.948984728	3.938624509	4.362689523	3.973994676	4.296963599	3.871552142	4.682457633
WBGene00013483	3	3	3	3	3	3	3	3
WBGene00013484	3.533936598	3	3	3.726700989	4.123371269	3.789567328	4.127756154	3.839309669
WBGene00012386	6.67739882	5.438276792	5.798786649	5.700605099	5.643838882	5.745672304	5.816486894	6.177882214
WBGene00012387	3.200744779	3	3	3	3	3	3.30688891	3
WBGene00006505	3.200744779	3	3.156509871	3	3	3.16533442	3.161589261	3.21143436
WBGene00012394	3	3	3	3	3	3	3	3
WBGene00044110	3.922768025	3.301737941	3.54433698	3.478102426	3.807346091	3.448137644	3.438884535	3.559263004
WBGene00012388	3.804431592	3.859333042	3.65346132	3.836587268	4.050615415	3.887511217	3.30688891	4.533097392
WBGene00012389	7.392665198	6.773811546	6.813829851	6.895577272	6.482645163	6.546646047	6.061457188	7.329015218
WBGene00012390	4.88254416	4.574024673	4.315935651	4.50262681	4.836486432	5.252235768	4.047306292	4.609709533
WBGene00012391	3.376938259	3	3.156509871	3.335643599	3.146839394	3	3	3.961277016
WBGene00012393	7.097904319	5.90950341	6.244807093	6.269635856	6.32190955	6.319838105	6.019900538	6.664490615
WBGene00000202	3.200744779	3.301737941	3.297690316	3	3.280104283	3.16533442	3.161589261	3
WBGene00021170	4.228740898	4.033389744	4.559730357	4.434354191	4.602022197	4.146824615	4.80276845	4.275334211
WBGene00012395	3.922768025	3.301737941	3.65346132	3.335643599	3.618902645	3	3.871552142	3.961277016
WBGene00012396	3	3.15874315	3.297690316	3	3.146839394	3.16533442	3.161589261	3
WBGene00012397	3	3	3	3	3	3	3	3
WBGene00050915	3.200744779	3	3	3.177560818	3.146839394	3.16533442	3	3
WBGene00006156	3	3	3	3	3	3	3	3
WBGene00012398	3.376938259	3.15874315	3.156509871	3.177560818	3.146839394	3.16533442	3.161589261	3.21143436
WBGene00012399	3	3	3	3.177560818	3.280104283	3.16533442	3.161589261	3.706070801
WBGene00005357	3	3	3	3	3	3	3	3
WBGene00012400	3	3	3	3	3	3	3	3
WBGene00012401	3	3	3	3	3	3.313654502	3	3
WBGene00012402	3	3	3	3	3.146839394	3	3	3
WBGene00012403	3	3	3.156509871	3	3	3.16533442	3	3
WBGene00012404	6.029628271	5.996181205	4.992505548	5.376024697	6.576330493	6.172185984	5.396891059	6.452047396
WBGene00012405	3	3.15874315	3	3	3	3	3	3
WBGene00012406	3	3	3	3	3	3	3	3
WBGene00044207	3.533936598	3.15874315	3	3.335643599	3.280104283	3.448137644	3.30688891	3.706070801
WBGene00044208	3	3	3	3	3	3	3	3
WBGene00045501	3	3	3.156509871	3.177560818	3	3	3	3
WBGene00050974	3	3	3.156509871	3	3.280104283	3	3	3
WBGene00013490	3	3	3	3	3	3	3.161589261	3
WBGene00050904	3.376938259	3	3	3	3.280104283	3.16533442	3	3
WBGene00013491	3	3	3	3	3	3	3	3
WBGene00077464	3	3	3	3	3	3	3	3
WBGene00013492	3	3	3	3	3	3	3	3.21143436
WBGene00013493	3	3	3	3	3	3	3	3
WBGene00013494	3	3	3	3	3	3	3	3
WBGene00005354	3	3	3	3	3	3	3	3
WBGene00013495	3.200744779	3	3.426278156	3	3.514566991	3.887511217	4.127756154	3.961277016
WBGene00003702	3.200744779	3.301737941	3.156509871	3	3.146839394	3	3	3.395805922
WBGene00013496	3.200744779	3	3.297690316	3	3.146839394	3	3	3
WBGene00013497	3	3.15874315	3.938624509	3.177560818	3.618902645	3.979226368	3.161589261	3.559263004
WBGene00013498	3	3	3	3	3	3.313654502	3.161589261	3
WBGene00013499	5.862003701	5.128660248	5.845535148	5.941007923	6.175620328	6.029299831	6.46911519	6.896253535
WBGene00004475	4.88254416	3.859333042	4.667738829	3.836587268	4.700425453	3.684486619	4.345249847	4.073732044
